dataset,split,class,filename,filepath,width,height,mode,aspect_ratio,pixel_std,issues
oral,train,NON CANCER,020.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\020.jpeg,169,142,RGBA,1.19,32.61,Non-RGB mode (RGBA)
oral,train,NON CANCER,021.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\021.jpeg,141,155,RGBA,0.91,53.36,Non-RGB mode (RGBA)
oral,train,NON CANCER,022.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\022.jpeg,204,181,RGBA,1.13,33.09,Non-RGB mode (RGBA)
oral,train,NON CANCER,023.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\023.jpeg,141,142,RGBA,0.99,42.06,Non-RGB mode (RGBA)
oral,train,NON CANCER,024.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\024.jpeg,100,138,RGBA,0.72,60.56,Non-RGB mode (RGBA)
oral,train,NON CANCER,025.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\025.jpeg,121,157,RGBA,0.77,56.58,Non-RGB mode (RGBA)
oral,train,NON CANCER,026.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\026.jpeg,170,124,RGBA,1.37,44.47,Non-RGB mode (RGBA)
oral,train,NON CANCER,027.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\027.jpeg,200,192,RGBA,1.04,49.14,Non-RGB mode (RGBA)
oral,train,NON CANCER,028.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\028.jpeg,154,98,RGBA,1.57,56.52,Non-RGB mode (RGBA); Small resolution (154x98)
oral,train,NON CANCER,029.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\029.jpeg,127,162,RGBA,0.78,51.43,Non-RGB mode (RGBA)
oral,train,NON CANCER,030.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\030.jpeg,123,148,RGBA,0.83,46.1,Non-RGB mode (RGBA)
oral,train,NON CANCER,034.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\034.jpeg,133,156,RGBA,0.85,29.04,Non-RGB mode (RGBA)
oral,train,NON CANCER,037.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\037.jpeg,125,120,RGBA,1.04,45.31,Non-RGB mode (RGBA)
oral,train,NON CANCER,039.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\039.jpeg,144,176,RGBA,0.82,51.38,Non-RGB mode (RGBA)
oral,train,NON CANCER,041.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\041.jpeg,308,254,RGBA,1.21,63.14,Non-RGB mode (RGBA)
oral,train,NON CANCER,042.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\042.jpeg,170,192,RGBA,0.89,61.92,Non-RGB mode (RGBA)
oral,train,NON CANCER,043.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\043.jpeg,152,194,RGBA,0.78,47.83,Non-RGB mode (RGBA)
oral,train,NON CANCER,045.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\045.jpeg,177,179,RGBA,0.99,39.79,Non-RGB mode (RGBA)
oral,train,NON CANCER,046.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\046.jpeg,134,127,RGBA,1.06,54.95,Non-RGB mode (RGBA)
oral,train,NON CANCER,047.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\047.jpeg,112,128,RGBA,0.88,54.69,Non-RGB mode (RGBA)
oral,train,NON CANCER,054.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\054.jpeg,185,173,RGBA,1.07,57.59,Non-RGB mode (RGBA)
oral,train,NON CANCER,055.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\055.jpeg,169,188,RGBA,0.9,51.34,Non-RGB mode (RGBA)
oral,train,NON CANCER,056.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\056.jpeg,90,116,RGBA,0.78,45.02,Non-RGB mode (RGBA); Small resolution (90x116)
oral,train,NON CANCER,057.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\057.jpeg,119,104,RGBA,1.14,35.39,Non-RGB mode (RGBA)
oral,train,NON CANCER,059.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\059.jpeg,133,150,RGBA,0.89,60.82,Non-RGB mode (RGBA)
oral,train,NON CANCER,060.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\060.jpeg,110,123,RGBA,0.89,42.96,Non-RGB mode (RGBA)
oral,train,NON CANCER,061.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\061.jpeg,145,128,RGBA,1.13,54.78,Non-RGB mode (RGBA)
oral,train,NON CANCER,062.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\062.jpeg,160,101,RGBA,1.58,46.42,Non-RGB mode (RGBA)
oral,train,NON CANCER,063.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\063.jpeg,155,89,RGBA,1.74,44.43,Non-RGB mode (RGBA); Small resolution (155x89)
oral,train,NON CANCER,064.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\064.jpeg,201,173,RGBA,1.16,49.25,Non-RGB mode (RGBA)
oral,train,NON CANCER,065.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\065.jpeg,175,173,RGBA,1.01,31.33,Non-RGB mode (RGBA)
oral,train,NON CANCER,066.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\066.jpeg,231,248,RGBA,0.93,46.35,Non-RGB mode (RGBA)
oral,train,NON CANCER,067.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\067.jpeg,150,190,RGBA,0.79,43.29,Non-RGB mode (RGBA)
oral,train,NON CANCER,068.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\068.jpeg,148,172,RGBA,0.86,39.58,Non-RGB mode (RGBA)
oral,train,NON CANCER,070.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\070.jpeg,95,121,RGBA,0.79,37.56,Non-RGB mode (RGBA); Small resolution (95x121)
oral,train,NON CANCER,071.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\071.jpeg,193,177,RGBA,1.09,58.36,Non-RGB mode (RGBA)
oral,train,NON CANCER,096.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\096.jpeg,2959,3072,RGB,0.96,61.29,Very large resolution (2959x3072)
oral,train,NON CANCER,101.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\101.jpeg,113,104,RGBA,1.09,50.74,Non-RGB mode (RGBA)
oral,train,NON CANCER,111.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\111.jpeg,135,133,RGBA,1.02,51.22,Non-RGB mode (RGBA)
oral,train,NON CANCER,114.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\114.jpeg,3456,3456,RGB,1.0,42.09,Very large resolution (3456x3456)
oral,train,NON CANCER,115.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\115.jpeg,128,168,RGBA,0.76,26.12,Non-RGB mode (RGBA)
oral,train,NON CANCER,116.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\116.jpeg,128,143,RGBA,0.9,42.43,Non-RGB mode (RGBA)
oral,train,NON CANCER,119.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\119.jpeg,126,126,RGBA,1.0,34.08,Non-RGB mode (RGBA)
oral,train,NON CANCER,122.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\122.jpeg,223,127,RGBA,1.76,42.25,Non-RGB mode (RGBA)
oral,train,NON CANCER,125.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\125.jpeg,172,185,RGBA,0.93,54.97,Non-RGB mode (RGBA)
oral,train,NON CANCER,126.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\126.jpeg,132,147,RGBA,0.9,34.31,Non-RGB mode (RGBA)
oral,train,NON CANCER,138.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\138.jpeg,4497,3002,RGB,1.5,66.0,Very large resolution (4497x3002)
oral,train,NON CANCER,195.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\195.jpeg,2316,3088,RGB,0.75,44.43,Very large resolution (2316x3088)
oral,train,NON CANCER,196.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\196.jpeg,3024,4032,RGB,0.75,52.58,Very large resolution (3024x4032)
oral,train,NON CANCER,207.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\207.jpeg,2521,3008,RGB,0.84,43.17,Very large resolution (2521x3008)
oral,train,NON CANCER,211.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\211.jpeg,3000,3624,RGB,0.83,59.08,Very large resolution (3000x3624)
oral,train,NON CANCER,215.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\215.jpeg,4000,3000,RGB,1.33,52.77,Very large resolution (4000x3000)
oral,train,NON CANCER,217.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\217.jpeg,3488,3186,RGB,1.09,45.41,Very large resolution (3488x3186)
oral,train,NON CANCER,218.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\218.jpeg,3488,3101,RGB,1.12,42.08,Very large resolution (3488x3101)
oral,train,NON CANCER,219.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\219.jpeg,2691,3429,RGB,0.78,37.71,Very large resolution (2691x3429)
oral,train,NON CANCER,220.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\220.jpeg,4000,3000,RGB,1.33,57.93,Very large resolution (4000x3000)
oral,train,NON CANCER,428.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\428.jpeg,1800,4000,RGB,0.45,42.52,Very large resolution (1800x4000)
oral,train,NON CANCER,429.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\429.jpeg,1800,4000,RGB,0.45,54.41,Very large resolution (1800x4000)
oral,train,NON CANCER,430.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\430.jpeg,1800,4000,RGB,0.45,43.93,Very large resolution (1800x4000)
oral,train,NON CANCER,432.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\432.jpeg,1800,4000,RGB,0.45,45.76,Very large resolution (1800x4000)
oral,train,NON CANCER,433.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\433.jpeg,1800,4000,RGB,0.45,54.98,Very large resolution (1800x4000)
oral,train,NON CANCER,434.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\434.jpeg,1800,3207,RGB,0.56,34.17,Very large resolution (1800x3207)
oral,train,NON CANCER,436.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\436.jpeg,1800,4000,RGB,0.45,40.37,Very large resolution (1800x4000)
oral,train,NON CANCER,437.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\437.jpeg,1800,4000,RGB,0.45,43.18,Very large resolution (1800x4000)
oral,train,NON CANCER,441.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\441.jpeg,3024,4032,RGB,0.75,54.01,Very large resolution (3024x4032)
oral,train,NON CANCER 2,003.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\003.jpeg,154,186,RGBA,0.83,57.2,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,008.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\008.jpeg,233,164,RGBA,1.42,42.85,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,010.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\010.jpeg,126,119,RGBA,1.06,45.68,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,011.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\011.jpeg,205,193,RGBA,1.06,64.96,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,013.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\013.jpeg,140,147,RGBA,0.95,36.2,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,015.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\015.jpeg,185,188,RGBA,0.98,46.42,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,016.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\016.jpeg,127,155,RGBA,0.82,53.17,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,017.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\017.jpeg,214,177,RGBA,1.21,34.95,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,018.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\018.jpeg,189,215,RGBA,0.88,37.81,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,020.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\020.jpeg,147,193,RGBA,0.76,48.29,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,021.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\021.jpeg,129,124,RGBA,1.04,45.59,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,022.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\022.jpeg,162,152,RGBA,1.07,29.33,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,023.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\023.jpeg,157,206,RGBA,0.76,54.18,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,024.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\024.jpeg,157,123,RGBA,1.28,41.9,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,025.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\025.jpeg,145,172,RGBA,0.84,57.93,Non-RGB mode (RGBA)
oral,train,NON CANCER 2,026.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER 2\026.jpeg,120,125,RGBA,0.96,40.09,Non-RGB mode (RGBA)
