filename,filepath,true_class,predicted_class,confidence,dataset,model,is_high_confidence,is_low_confidence
262.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\262.jpeg,CANCER 1,CANCER,0.47337156534194946,oral,efficientnetb0_best_tuned.keras,False,True
307.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\307.jpeg,CANCER 1,NON CANCER,0.3147551715373993,oral,efficientnetb0_best_tuned.keras,False,True
329.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\329.jpeg,CANCER 1,NON CANCER,0.47270330786705017,oral,efficientnetb0_best_tuned.keras,False,True
352.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\352.jpeg,CANCER 1,CANCER,0.3333927094936371,oral,efficientnetb0_best_tuned.keras,False,True
380.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\380.jpeg,CANCER 1,CANCER,0.5329559445381165,oral,efficientnetb0_best_tuned.keras,False,False
389.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\389.jpeg,CANCER 1,CANCER,0.3584340214729309,oral,efficientnetb0_best_tuned.keras,False,True
393.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\393.jpeg,CANCER 1,NON CANCER,0.4697069823741913,oral,efficientnetb0_best_tuned.keras,False,True
416.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\416.jpeg,CANCER 1,NON CANCER,0.5408685207366943,oral,efficientnetb0_best_tuned.keras,False,False
459.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\459.jpeg,CANCER 1,NON CANCER,0.456173837184906,oral,efficientnetb0_best_tuned.keras,False,True
461.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\461.jpeg,CANCER 1,NON CANCER,0.4652881920337677,oral,efficientnetb0_best_tuned.keras,False,True
485.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\485.jpeg,CANCER 1,CANCER,0.3861119747161865,oral,efficientnetb0_best_tuned.keras,False,True
074.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\074.jpeg,NON CANCER,CANCER 1,0.5367059111595154,oral,efficientnetb0_best_tuned.keras,False,False
089.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\089.jpeg,NON CANCER,CANCER 1,0.5680001378059387,oral,efficientnetb0_best_tuned.keras,False,False
107.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\107.jpeg,NON CANCER,CANCER 1,0.35782891511917114,oral,efficientnetb0_best_tuned.keras,False,True
109.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\109.jpeg,NON CANCER,CANCER 1,0.5328816771507263,oral,efficientnetb0_best_tuned.keras,False,False
117.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\117.jpeg,NON CANCER,CANCER,0.41095253825187683,oral,efficientnetb0_best_tuned.keras,False,True
229.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\229.jpeg,NON CANCER,NON CANCER 2,0.4870831370353699,oral,efficientnetb0_best_tuned.keras,False,True
350.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER\350.jpeg,NON CANCER,CANCER 1,0.44908004999160767,oral,efficientnetb0_best_tuned.keras,False,True
001.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\001.jpeg,NON CANCER 2,NON CANCER,0.3639783263206482,oral,efficientnetb0_best_tuned.keras,False,True
019.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\019.jpeg,NON CANCER 2,NON CANCER,0.5891861915588379,oral,efficientnetb0_best_tuned.keras,False,False
055.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\055.jpeg,NON CANCER 2,NON CANCER,0.5125129818916321,oral,efficientnetb0_best_tuned.keras,False,False
076.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\076.jpeg,NON CANCER 2,NON CANCER,0.47319671511650085,oral,efficientnetb0_best_tuned.keras,False,True
093.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\093.jpeg,NON CANCER 2,CANCER 1,0.41621553897857666,oral,efficientnetb0_best_tuned.keras,False,True
100.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\100.jpeg,NON CANCER 2,NON CANCER,0.5656107664108276,oral,efficientnetb0_best_tuned.keras,False,False
120.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\120.jpeg,NON CANCER 2,NON CANCER,0.47479429841041565,oral,efficientnetb0_best_tuned.keras,False,True
133.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\133.jpeg,NON CANCER 2,CANCER,0.41095253825187683,oral,efficientnetb0_best_tuned.keras,False,True
143.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\143.jpeg,NON CANCER 2,NON CANCER,0.5581213235855103,oral,efficientnetb0_best_tuned.keras,False,False
155.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\155.jpeg,NON CANCER 2,NON CANCER,0.6274256706237793,oral,efficientnetb0_best_tuned.keras,False,False
158.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\158.jpeg,NON CANCER 2,NON CANCER,0.3438567817211151,oral,efficientnetb0_best_tuned.keras,False,True
198.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\198.jpeg,NON CANCER 2,NON CANCER,0.6650824546813965,oral,efficientnetb0_best_tuned.keras,False,False
203.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\203.jpeg,NON CANCER 2,NON CANCER,0.6970897316932678,oral,efficientnetb0_best_tuned.keras,False,False
204.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\204.jpeg,NON CANCER 2,NON CANCER,0.531883716583252,oral,efficientnetb0_best_tuned.keras,False,False
205.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\205.jpeg,NON CANCER 2,CANCER,0.44906356930732727,oral,efficientnetb0_best_tuned.keras,False,True
211.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\211.jpeg,NON CANCER 2,NON CANCER,0.5047904253005981,oral,efficientnetb0_best_tuned.keras,False,False
212.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\212.jpeg,NON CANCER 2,NON CANCER,0.4002448320388794,oral,efficientnetb0_best_tuned.keras,False,True
214.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\214.jpeg,NON CANCER 2,NON CANCER,0.532737135887146,oral,efficientnetb0_best_tuned.keras,False,False
221.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\221.jpeg,NON CANCER 2,NON CANCER,0.513235867023468,oral,efficientnetb0_best_tuned.keras,False,False
223.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\223.jpeg,NON CANCER 2,NON CANCER,0.5439702868461609,oral,efficientnetb0_best_tuned.keras,False,False
225.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\225.jpeg,NON CANCER 2,NON CANCER,0.6610186696052551,oral,efficientnetb0_best_tuned.keras,False,False
238.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\238.jpeg,NON CANCER 2,NON CANCER,0.5767946243286133,oral,efficientnetb0_best_tuned.keras,False,False
243.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\NON CANCER 2\243.jpeg,NON CANCER 2,CANCER,0.4109525978565216,oral,efficientnetb0_best_tuned.keras,False,True
