removed_filepath,filename,original_split,original_folder,target_class,md5,canonical_destination,removal_reason
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\014.jpeg,014.jpeg,train,CANCER 1,CANCER,284d8efc23b7f9584d617865ce60f2df,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_013.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\015.jpeg,015.jpeg,train,CANCER 1,CANCER,8f093c551dc200597ffee54f81aada5d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_014.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\016.jpeg,016.jpeg,train,CANCER 1,CANCER,389afa06cc913c6c0288a4dfb0b26e29,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_015.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\016.jpeg,016.jpeg,train,CANCER,CANCER,e067d0c50817357e4b7083a78f4b6664,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_017.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\019.jpeg,019.jpeg,train,CANCER 1,CANCER,0597ce8de38ff2645f45669094c9a9f9,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_017.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\020.jpeg,020.jpeg,train,CANCER 1,CANCER,21ce3e03898be3df58948df92271c229,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_018.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\021.jpeg,021.jpeg,train,CANCER 1,CANCER,029623869bb171e6d7c81c7a802f888b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_019.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\020.jpeg,020.jpeg,train,CANCER,CANCER,b9a879fc004bafaa0cfc73132bac72f9,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_022.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\021.jpeg,021.jpeg,train,CANCER,CANCER,721e5a042f0dee87a58f6635cb39ed04,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_023.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\028.jpeg,028.jpeg,train,CANCER 1,CANCER,422f46da1a6da2ff72c995d34dc8dcef,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_022.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\031.jpeg,031.jpeg,train,CANCER 1,CANCER,15b28dccc6631ad41861a075020f19b5,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_023.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\032.jpeg,032.jpeg,train,CANCER 1,CANCER,c23eb2eee7e229605dc52352727c5e5a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_024.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\033.jpeg,033.jpeg,train,CANCER 1,CANCER,2eaa4c30f678b288a459a5a33b393c95,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_025.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\035.jpeg,035.jpeg,train,CANCER 1,CANCER,2cbffc033d125a01419ea08b093efee2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_027.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\036.jpeg,036.jpeg,train,CANCER 1,CANCER,932f6233a72b0d18c0d0a62c873a515b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_028.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\037.jpeg,037.jpeg,train,CANCER 1,CANCER,2f1c944d615a2463e15742d0eda16b93,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_029.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\030.jpeg,030.jpeg,train,CANCER,CANCER,1f53332594aae655b3fb3a097159b2e0,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_038.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\039.jpeg,039.jpeg,train,CANCER 1,CANCER,c4dae698df305bd81fd5756f4608f9b8,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_031.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\040.jpeg,040.jpeg,train,CANCER 1,CANCER,015824d3cda3634574c56b40a8925153,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_032.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\033.jpeg,033.jpeg,train,CANCER,CANCER,769f77031f7310fd4596d8d46f4e5a3f,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_041.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\043.jpeg,043.jpeg,train,CANCER 1,CANCER,b26a04726e692d10a4d84e46994ba94e,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_034.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\035.jpeg,035.jpeg,train,CANCER,CANCER,436ab44120a8cc0ded4c74a08569f712,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_044.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\045.jpeg,045.jpeg,train,CANCER 1,CANCER,00faf28779e8cd3efa4350c40a28b639,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_036.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\037.jpeg,037.jpeg,train,CANCER,CANCER,db6c6d583ae98dc2d85535ab2199e6c2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_046.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\049.jpeg,049.jpeg,train,CANCER 1,CANCER,a2d7715f305399e6b6e81d5a7eccb340,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_038.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\050.jpeg,050.jpeg,train,CANCER 1,CANCER,d041ecf179aad2d14da37c63de879c48,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_039.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\051.jpeg,051.jpeg,train,CANCER 1,CANCER,36685be30465b516867c5ed197c8d183,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_040.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\025.jpeg,025.jpeg,train,CANCER 1,CANCER,d180e5cf1bb53f73fca1ecaf76e91ba8,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_042.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\029.jpeg,029.jpeg,train,CANCER 1,CANCER,bfc167697eca461b8f98478263a8f6f2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_043.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\030.jpeg,030.jpeg,train,CANCER 1,CANCER,dfceb7c94e154ac730c626f826e7e0f5,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_044.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\061.jpeg,061.jpeg,train,CANCER 1,CANCER,24e35fc131729b0dbbfd090d4b6dc7ab,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_048.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\051.jpeg,051.jpeg,train,CANCER,CANCER,6b33a7cf63d2007610af27644fb7fde3,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_065.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\069.jpeg,069.jpeg,train,CANCER 1,CANCER,64686bec25a2f1591a096b92b7d03500,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_053.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\070.jpeg,070.jpeg,train,CANCER 1,CANCER,6296e49ecd461224c1f84bb3e9de5914,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_054.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\071.jpeg,071.jpeg,train,CANCER 1,CANCER,985c45e449d3501c44f76679ceded15f,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_055.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\073.jpeg,073.jpeg,train,CANCER 1,CANCER,8dbe3a305de8f99991e85e53dbe12a87,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_057.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\074.jpeg,074.jpeg,train,CANCER 1,CANCER,cf8ffc7b58a4589e361c69f2a329603c,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_058.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\059.jpeg,059.jpeg,train,CANCER,CANCER,d784097e74cc946816b2f859e433c688,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_075.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\081.jpeg,081.jpeg,train,CANCER 1,CANCER,305170e49b00db2c1badeae0dedf3b50,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_063.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\065.jpeg,065.jpeg,train,CANCER,CANCER,30f6e65c6755e01bd2404712559a2186,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_083.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\066.jpeg,066.jpeg,train,CANCER,CANCER,ae46ed737fe7ba1c6733105573347f6f,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_084.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\085.jpeg,085.jpeg,train,CANCER 1,CANCER,f9ec7591b2e471a8555b2969aecedc1d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_067.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\086.jpeg,086.jpeg,train,CANCER 1,CANCER,fe17de62e2e493064423f6457384de64,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_068.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\090.jpeg,090.jpeg,train,CANCER 1,CANCER,35ae2e854647f7c42b9f1ff4a1674c3a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_072.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\074.jpeg,074.jpeg,train,CANCER,CANCER,5076c11d1cadf4ef4264de5731adbb5d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_092.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\093.jpeg,093.jpeg,train,CANCER 1,CANCER,323e60f18d27bb846f5f11c4f50f0146,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_075.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\067.jpeg,067.jpeg,train,CANCER 1,CANCER,a53523482fedb01cc37d26e68acc2d11,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_076.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\105.jpeg,105.jpeg,train,CANCER 1,CANCER,7a06c6fcce87d5dd29f7c2b4b561c4e4,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_086.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\106.jpeg,106.jpeg,train,CANCER 1,CANCER,d2c860cbdb0e584cf90f31f85b813056,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_087.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\109.jpeg,109.jpeg,train,CANCER 1,CANCER,5291144908aa96cb92b2dd96463754b9,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_090.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\092.jpeg,092.jpeg,train,CANCER,CANCER,bd8d4aff0a46df784c220406b1455baa,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_110.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\112.jpeg,112.jpeg,train,CANCER 1,CANCER,15da192f210e49bd1304af53044e22b6,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_094.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\095.jpeg,095.jpeg,train,CANCER,CANCER,e4f985efc03a8854439d6e8602e9f849,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_113.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\115.jpeg,115.jpeg,train,CANCER 1,CANCER,a0af72dba9e5e771521eb5717343e63b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_096.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\097.jpeg,097.jpeg,train,CANCER,CANCER,f41a1160d98ea815b7011c19a473549d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_116.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\117.jpeg,117.jpeg,train,CANCER 1,CANCER,604c665dc4d6c47ff7c736e2fded68a9,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_098.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\118.jpeg,118.jpeg,train,CANCER 1,CANCER,a49803dd166457283ad23925826b8ee1,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_099.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\120.jpeg,120.jpeg,train,CANCER 1,CANCER,ea024fe86617fec4ff579dc3515807b1,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_102.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\121.jpeg,121.jpeg,train,CANCER 1,CANCER,ea56a1304bb7c108bd6cfd2dfaad6549,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_103.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\104.jpeg,104.jpeg,train,CANCER,CANCER,a4fe3c23774cf8d1ab7ac68e64324757,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_122.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\123.jpeg,123.jpeg,train,CANCER 1,CANCER,daceef712dc9264cba7bd7ed90283933,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_105.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\124.jpeg,124.jpeg,train,CANCER 1,CANCER,a36409093ffc64586b56dcb5ca2cb025,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_106.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\108.jpeg,108.jpeg,train,CANCER,CANCER,801ad77c6dd4d1ee7ba0aca18f744922,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_126.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\129.jpeg,129.jpeg,train,CANCER 1,CANCER,013c15493eb570ed597a3c29f0c73ee1,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_111.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\131.jpeg,131.jpeg,train,CANCER 1,CANCER,d83f78a21767fae1e13e91694c1420f1,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_113.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\133.jpeg,133.jpeg,train,CANCER 1,CANCER,ae12bf2d60f1eaf56ae6584c0e040b52,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_115.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\136.jpeg,136.jpeg,train,CANCER 1,CANCER,65889758cea7b9b1c69ea148c5215932,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_117.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\137.jpeg,137.jpeg,train,CANCER 1,CANCER,517e3d01a19ee667eb76e3520671ea6f,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_118.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\138.jpeg,138.jpeg,train,CANCER 1,CANCER,f133b8507c4a8246604134e7bc0c612b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_119.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\122.jpeg,122.jpeg,train,CANCER,CANCER,bab00fd04f12a158fe25803d30a55a78,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_141.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\145.jpeg,145.jpeg,train,CANCER 1,CANCER,d95cc311b842bdc1ed7b49cc21cfb39a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_123.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\146.jpeg,146.jpeg,train,CANCER 1,CANCER,51557e3e936bd42a813a9ccbbf70ce88,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_124.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\147.jpeg,147.jpeg,train,CANCER 1,CANCER,7726c348a5f091bdf1b1a6efff70327a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_125.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\149.jpeg,149.jpeg,train,CANCER 1,CANCER,23fa78174e2ffb81cbe1ef0017c5a3b6,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_127.jpeg,Intra-split duplicate copy in folder CANCER 1
