removed_filepath,filename,original_split,original_class,canonical_split,canonical_class,md5,canonical_destination,removal_reason
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma1039.jpg,Glaucoma1039.jpg,train,G,Validation,M,ab2e4b4d42b07fc79187e09affeadf68,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia16.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia20.jpg,Myopia20.jpg,train,M,Train,G,dc877ccd608e80d8086f8610c2a9a7e0,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1063.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia29.jpg,Myopia29.jpg,train,M,Train,G,fea8e533eb44f44be370250d8ba5e9a2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1098.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia99.jpg,Myopia99.jpg,train,M,Train,G,cdf384818d301b8c8f2f148e04e7831a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma114.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma1162.jpg,Glaucoma1162.jpg,train,G,Validation,M,4b69e207dc57dded72adda2d46c260c2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia43.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia47.jpg,Myopia47.jpg,train,M,Train,G,27ad299641277e935108e77da366769b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1181.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia51.jpg,Myopia51.jpg,train,M,Train,G,77f623885e2cc4228b7ed3344beae0aa,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1194.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia59.jpg,Myopia59.jpg,train,M,Train,G,8b6a868a8ff541ef97d9e53efbbb0b6b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1207.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma1215.jpg,Glaucoma1215.jpg,train,G,Validation,M,eef30e4f58459c1be5c42a59547f4dc3,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia60.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia100.jpg,Myopia100.jpg,train,M,Train,G,8fd74b560a8977f2b74d5de7ea3bb14a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma124.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma125.jpg,Glaucoma125.jpg,train,G,Test,M,b59a05770d8cd7d82287b1ef11e5eeec,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia102.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma1251.jpg,Glaucoma1251.jpg,train,G,Validation,M,da8a2c37ea8c2ecb6288d67f5ee6c1de,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia72.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia73.jpg,Myopia73.jpg,train,M,Train,G,fd6338d6bd1b821992e91ed394ef3772,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1252.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia104.jpg,Myopia104.jpg,train,M,Train,G,2611bbc0820ef9ca5dbb42a714b1a4c1,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma126.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma1280.jpg,Glaucoma1280.jpg,train,G,Test,M,923c4985a650f90cde80ef016a0a0c0a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia76.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia79.jpg,Myopia79.jpg,train,M,Train,G,e24c2363600348bd58c4cfbe57ab9a9a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1302.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia80.jpg,Myopia80.jpg,train,M,Train,G,5ebb92a153291accabd53203a82bc4d3,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1311.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia81.jpg,Myopia81.jpg,train,M,Train,G,7c55c502403ec106fc6eec1d80899f0e,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1312.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma1332.jpg,Glaucoma1332.jpg,train,G,Validation,M,e97eefe654e44decf7af2ecd13cc8ee3,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia82.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma143.jpg,Glaucoma143.jpg,train,G,Test,M,307c5655aa02024d4802e641ac63b628,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia113.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia117.jpg,Myopia117.jpg,train,M,Train,G,8e37d145868b13fc013e3f6c738601ad,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma144.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia118.jpg,Myopia118.jpg,train,M,Train,G,e047e55aeda623ba43cbf5a4cd4b82d9,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma146.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia120.jpg,Myopia120.jpg,train,M,Train,G,c581bc04d8f964809aa0b04139afc349,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma161.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia127.jpg,Myopia127.jpg,train,M,Train,G,8c7edef11335c8ca34f13e8f51dba027,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma225.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia128.jpg,Myopia128.jpg,train,M,Train,G,d89efb63b544a659acc1895936270625,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma226.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia129.jpg,Myopia129.jpg,train,M,Train,G,3d9debdaeb7abf469b82ab6d2f9d89f8,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma272.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia132.jpg,Myopia132.jpg,train,M,Train,G,4b629e61d80629dbd682ff517fa578ea,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma275.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia135.jpg,Myopia135.jpg,train,M,Train,G,ab2394a7574bf6d12ed7f5bbaaf14d1d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma277.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia86.jpg,Myopia86.jpg,train,M,Train,G,892d8d164e0ed78168a5ea9aa6d28861,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma28.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia148.jpg,Myopia148.jpg,train,M,Train,G,648fb7175606e41e06514d8a490710cc,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma331.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia150.jpg,Myopia150.jpg,train,M,Train,G,c4f21ba4fdc4e31aac191593ed53cf6c,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma333.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia152.jpg,Myopia152.jpg,train,M,Train,G,72f0e77cec36080906325fc4ca659049,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma342.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia151.jpg,Myopia151.jpg,train,M,Train,G,89992cbeb864178417247f1f5a0bb2db,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma343.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia154.jpg,Myopia154.jpg,train,M,Train,G,ddb5ae989e2e716f94d4666f2486fdbb,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma351.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia158.jpg,Myopia158.jpg,train,M,Train,G,fcd1275609fbed59270f7e748913445a,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma365.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia165.jpg,Myopia165.jpg,train,M,Train,G,4b45a08ea2c0fa796b391cc135dff584,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma378.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma379.jpg,Glaucoma379.jpg,train,G,Test,M,dd769a515da60791298894e677e10b82,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia164.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia167.jpg,Myopia167.jpg,train,M,Train,G,70c211cd2c95b73c75407178d543168e,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma391.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia169.jpg,Myopia169.jpg,train,M,Train,G,fbf5ff5559b0e6539ea4738273111d40,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma392.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia168.jpg,Myopia168.jpg,train,M,Train,G,3949f2d174fb7a1ef4164e219c199a1d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma393.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma398.jpg,Glaucoma398.jpg,train,G,Test,M,c8ab71f43eecb841aae24e4e8210c567,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia171.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia173.jpg,Myopia173.jpg,train,M,Train,G,72c42cfedd9af5b00d1821fde192e288,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma404.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia175.jpg,Myopia175.jpg,train,M,Train,G,69f7ac23b8576685f59bbe1b68756cb2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma420.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia180.jpg,Myopia180.jpg,train,M,Train,G,29d55f82a929d5dcba2dd6ddc2dd7487,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma424.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia185.jpg,Myopia185.jpg,train,M,Train,G,b64cc755d2a68201af8928a38221ba8e,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma434.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia186.jpg,Myopia186.jpg,train,M,Train,G,1e7742d1fe7ce3f5326edc3e4033a970,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma435.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia188.jpg,Myopia188.jpg,train,M,Train,G,22047f6b07a7fbf492ec995de6488fdf,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma454.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma455.jpg,Glaucoma455.jpg,train,G,Test,M,0a27d6b12ff91ccc26b52400a43944b5,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia189.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia196.jpg,Myopia196.jpg,train,M,Train,G,382b3d8cee42f1255ecc02609867b739,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma482.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia91.jpg,Myopia91.jpg,train,M,Train,G,060fe430deeafa319705c90ceac930e0,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma50.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia197.jpg,Myopia197.jpg,train,M,Train,G,f8df535bc81a8b4dc48912f28266d2ec,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma517.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma518.jpg,Glaucoma518.jpg,train,G,Test,M,fcbd5f5af68ec5cb9505b3de515e5b3c,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia198.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma528.jpg,Glaucoma528.jpg,train,G,Validation,M,fdf505beddadf1ff823fc9998c5889ea,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia199.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma565.jpg,Glaucoma565.jpg,train,G,Validation,M,7b5a203ad3e83b107fb2b80681e27b56,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia211.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia218.jpg,Myopia218.jpg,train,M,Train,G,7ec1a120963344527a97f2ad7942828d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma570.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia217.jpg,Myopia217.jpg,train,M,Train,G,4c04a85e5a7195eafa3d3d7a1a0783e2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma571.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia233.jpg,Myopia233.jpg,train,M,Train,G,c16b30033182afd7a2a5e30508930ce7,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma582.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia232.jpg,Myopia232.jpg,train,M,Train,G,6e1c095a20eda956f69aadcf64b28bb4,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma583.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma585.jpg,Glaucoma585.jpg,train,G,Validation,M,1fc635b7c556a0160cbbb914efb87dcf,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia230.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia235.jpg,Myopia235.jpg,train,M,Train,G,4b2fe2bcda77200b814358f645088ea1,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma589.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia237.jpg,Myopia237.jpg,train,M,Train,G,e3a977a80c9a2e746061019760cea90e,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma590.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia236.jpg,Myopia236.jpg,train,M,Train,G,75476c98e5aaa8b68e4ef8ef53eb73d2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma591.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia240.jpg,Myopia240.jpg,train,M,Train,G,ba02fc158c08c1179906f7911105fa47,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma597.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia241.jpg,Myopia241.jpg,train,M,Train,G,14394057a10053a17980ddb736652b34,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma598.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia255.jpg,Myopia255.jpg,train,M,Train,G,7870133d27cdd6372925cced122d5659,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma622.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma623.jpg,Glaucoma623.jpg,train,G,Test,M,6fa9c8c6521333cb7c8949a6ba532f0d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia256.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma628.jpg,Glaucoma628.jpg,train,G,Test,D,53838f998cfb54129ec161fa7b5fa3cb,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\D\DR597.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/D)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma644.jpg,Glaucoma644.jpg,train,G,Test,M,11e175a99cd9afaaf04c7ff42db567d0,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Test\M\Myopia273.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: G vs allocated: Test/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia272.jpg,Myopia272.jpg,train,M,Train,G,b3b2e0bc4396f826cb696ea206c84542,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma645.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia283.jpg,Myopia283.jpg,train,M,Train,G,02433d097ae72b47f30ad5e578fc1e4b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma665.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
